
2026-02-22T13:41:35.352143,INFT 364,Research Methods [Sec A],Prof. P. Yaw Owusu Amoako,Baobab RM3,Thursday,7:00am - 9:30am,3,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 480,Compiler Design [Sec A],Prof. P. Yaw Owusu Amoako,Baobab RM5,Friday,7:00am - 9:30am,4,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,MATH 101,Algebra [Sec A],Prof. W. Oblitey,American High,Monday,10:00am - 12:30pm,1,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,MATH 171,Introductory Mathematics for Computer Science,Prof. W. Oblitey,Baobab RM5,Thursday,7:00am - 9:30am,1,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,BBIS 226,Business Process Modeling and Workflow [Sec A],Prof. W. Ofoe Larkotey,Baobab RM5,Wednesday,10:00am - 12:30pm,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 346,Software Engineering [Sec A] / Software Development Life Cycle [Sec A],R. Amponsah,Baobab RM3,Tuesday,2:00pm - 4:30pm,3,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],R. Amponsah,Baobab RM3,Wednesday,2:00pm - 4:30pm,3,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,INFT 281,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],R. W. Ambeh-Doh,Baobab RM1,Monday,2:00pm - 4:30pm,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,COSC 280,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],R. W. Ambeh-Doh,Baobab RM5,Wednesday,2:00pm - 4:30pm,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,BBIS 110,Management Information Systems [Sec A] / Information Systems [Sec A] / Introduction to Business Information Systems [Sec A],R. W. Ambeh-Doh,Baobab RM3,Wednesday,7:00am - 9:30am,2,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,BBIS 338,Enterprise Systems [Sec A],R. W. Ambeh-Doh,Baobab RM5,Tuesday,10:00am - 12:30pm,3,1,30,3,computer,0,100.0,0
2026-02-22T13:41:35.352143,INFT 346,Systems Programming {Sec A] / DotNet Programming [Sec A],S. Ganu,Baobab RM3,Thursday,2:00pm - 4:30pm,3,1,30,3.0,computer,0,100.0,0
2026-02-22T13:41:35.352143,INFT 410,Internet-Enabled Applications Systems Development,S. Sebuabe,Baobab RM5,Friday,10:00am - 12:30pm,4,1,30,3.0,computer,0,100.0,0
2026-02-22T13:55:37.872349,COSC 370,Operations Research [Sec A] / Management Science [Sec A],Dr. A. Adu-Sackey,CS1,Monday,7:00am - 9:30am,3,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,INFT 370,Operations Research [Sec A] / Management Science [Sec A],Dr. A. Adu-Sackey,CS1,Tuesday,7:00am - 9:30am,3,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,COSC 130,Digital Electronics [Sec A],E. Okoe,CS1,Wednesday,7:00am - 9:30am,1,1,30,3,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,COSC 117,Fundamentals of Computing Skills [Sec B],G. Preprah Tanoah,CS1,Thursday,7:00am - 9:30am,1,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,BBIS 213,IT for Business (MOS) [Sec A],G. Preprah Tanoah,CS1,Friday,10:00am - 12:30pm,2,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,PHYS 103,Physics [Sec A],J. Okyere Asirifi,CS2,Monday,7:00am - 9:30am,1,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,COSC 470,/ INFT 470 Computer & Cyber Forensics,M. Asare,CS1,Tuesday,10:00am - 12:30pm,4,1,30,3,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,INFT 459,Enterprise Information Security [Sec A] / Computer Security [Sec A],M. Doe,CS1,Wednesday,2:00pm - 4:30pm,4,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,COSC 352,Enterprise Information Security [Sec A] / Computer Security [Sec A],M. Doe,CS1,Thursday,10:00am - 12:30pm,3,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,STAT 202,Statistical Methods for Health Sciences [Sec A],O. Osei-Tutu,CS1,Friday,7:00am - 9:30am,2,1,30,3.0,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,CSCD 119,Introduction to Computer Science [Sec A],Prof. P. Yaw Owusu Amoako,CS1,Monday,2:00pm - 4:30pm,1,1,30,3,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,COSC 224,Object-Oriented Programming [Sec A],Prof. P. Yaw Owusu Amoako,CS2,Tuesday,10:00am - 12:30pm,2,1,30,3,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,COCS 364,Research Methods [Sec A],Prof. P. Yaw Owusu Amoako,CS2,Thursday,7:00am - 9:30am,3,1,30,3,computing_science,0,100.0,0
2026-02-22T13:55:37.872349,INFT 364,Research Methods [Sec A],Prof. P. Yaw Owusu Amoako,CS2,Friday,7:00am - 9:30am,3,1,30,3,computing_science,0,100.0,0
